text,rating,label,clean_text,text_length
"ya,bagus",4,positive,ya bagus,8
mohon bantuannya saya tidak bisa mengubah nama pengguna,2,negative,mohon bantu ubah nama guna,26
tolong lah X (sebelumnya Twiter) akun saya tidak pernah upload yang melanggar dan tdk ada komentar yg melanggar juga lalu tiba tiba kena suspend atau di tangguhkan,3,neutral,tolong x twiter akun upload langgar tdk komentar yg langgar kena suspend tangguh,80
update selalu 🫰🏻,5,positive,update,6
"sangat menyebalkan, hampir setiap membuka apk X selalu dipinta verifikasi email.",1,negative,sebal buka apk x pinta verifikasi email,39
mantap,5,positive,mantap,6
kenapa x sekarang tidak bisa login lewat apk? sering muncul error waktu mau login. tolong diperbaiki karena semua akun akun saya tidak bisa login apknya!!!!!!,1,negative,x login apk muncul error login tolong baik akun akun login apknya,65
batiba sign out dan susah banget alias ga bisa sign in lagi. bikin emosi. Menyebalkan.,1,negative,batiba sign out susah banget alias ga sign in bikin emosi sebal,63
bagus,5,positive,bagus,5
oke,5,positive,oke,3
terus tingkat kan kwalitas nya 👍,5,positive,tingkat kwalitas nya,20
"aplikasi aneh dan baperan, tidak pernah upload apapun sudah 2 akun saya kena Suspend/ditangguhkan. Mencoba banding malah ditolak. tolong lha x diperbaiki hal2 Seperti ini.",1,negative,aplikasi aneh baperan upload apa akun kena suspend tangguh coba banding tolak tolong lha x baik,95
jariangan bagus tidak ada batasan,5,positive,jariangan bagus batas,21
jelek,1,negative,jelek,5
payah,1,negative,payah,5
mantaaapp,5,positive,mantaapp,8
X bagi saya sangat membantu untuk mendapat berita terkini di seluruh dunia,5,positive,x bantu berita kini dunia,25
"parahhh, akun tidak ada apa"" bisa""nya di tangguhkan",1,negative,parahh akun nya tangguh,23
Good Apls.,5,positive,good apls,9
seruuuu,5,positive,seruu,5
aplikasi nya tidak bisa di buka.,1,negative,aplikasi nya buka,17
gajelas aturan nya apa.. gatau salah nya apa tiba² di tangguhkan permanen,1,negative,gajelas atur nya gatau salah nya tiba tangguh permanen,54
apk nya jelek.. mau login Sush ngebug terus,1,negative,apk nya jelek login sush ngebug,31
Gajelas,5,positive,gajelas,7
"Saya tidak bisa login, tolong tangani segera",1,negative,login tolong tangan,19
mau loh in ke akun sendri saja aplikasinya ngga berjalan dengan baik,1,negative,loh in akun sendri aplikasi ngga jalan,38
"apk sosmed tersampah ,dari dulu masalah sepele susah login tidak pernah diperbaiki,kalo login selalu kesalahan teknis, mending Twitter dih skrng jadi X Makin sampah.",1,negative,apk sosmed sampah sepele susah login baik kalo login salah teknis mending twitter dih skrng x sampah,100
pliss lah jngan tiba2 akun anda di tangguhkan,1,negative,pliss jngan akun tangguh,24
Keren,1,negative,keren,5
goood,5,positive,good,4
tiba-tiba akunku kena suspend. gak bisa loh in lagi hufftt...,1,negative,akun kena suspend gak loh in hufftt,35
sangat mudah,5,positive,mudah,5
huh android 8 ga bisa download,1,negative,huh android ga download,23
bintang 1 karena mau lihat posting masak di batasin harus berlangganan dulu masak astaga,1,negative,bintang lihat posting masak batasin langgan masak astaga,56
sudah daftar akun tapi gak bisa login..bolak balik terus gak bisa login auto uninstall,1,negative,daftar akun gak login bolak gak login auto uninstall,52
dJosss,5,positive,djoss,5
buka bukan tante sexi,5,positive,buka tante sexi,15
kenapa ga bisa login nih hadehh,2,negative,ga login nih hadehh,19
"Ini aplikasi gimana sih? Aku masuk (baru pertama kali login) tapi gak bisa selalu muncul ""Ada kesalahan teknis, harap login kembali"" terus aja gitu",1,negative,aplikasi gimana sih masuk kali login gak muncul salah teknis harap login aja gitu,81
sagat jelek aplikasi tolol,1,negative,sagat jelek aplikasi tolol,26
ok,5,positive,ok,2
delay mulu kalo dm di X,1,negative,delay mulu kalo dm x,20
gak bisa login gak bisa buat akun baru👎,1,negative,gak login gak akun,18
KESEL BANGET MAU GANTI USERNAME SUSAHNYA MINTA AMPUN PEPEK,1,negative,kesel banget ganti username susah ampun pepek,45
"Akun premium pun bisa dibanned. Uda kirim laporan, tapi tidak ada tanggapan. Tolong kembalikan uang saya. Saya rugi beli akun premium tapi dibanned",1,negative,akun premium dibanned uda kirim lapor tanggap tolong kembali uang rugi beli akun premium dibanned,97
sering error dan loading lama padahal jaringan lancar,1,negative,error loading jaring lancar,27
kenapa setelah update app jadi tidak bisa login akun? mohon diperbaiki.,1,negative,update app login akun mohon baik,32
kenapa pesan nya tidak terlihat jadinya jika ada pesan tidak terbaca,2,negative,pesan nya pesan baca,20
ribet,1,negative,ribet,5
"aplikasi gajelas, gabisa log in terus.. dikit"" ada bacaan ""tidak dapat mengambil postingan ini"" gajls",1,negative,aplikasi gajelas gabisa log in dikit baca ambil postingan gajls,63
"aplikasi jelek, saya masih bingung tentang akun saya yg terkunci karena usia, pdhl usia saya sudah 13 tahun ke atas, tapi menurut saya, masih kurang, tolong apakah bisa memulihkan akun yg terkunci dan merubah akun/umur nya, karena akun saya terkunci",1,negative,aplikasi jelek bingung akun yg kunci usia pdhl usia tolong pulih akun yg kunci rubah akun umur nya akun kunci,109
"aplikasi tidak aman, tidak pernah komen tdk pernah teruskan dan tidak pernah upload tiba2 di tangguhkan dan di minta berlangganan ..apk burik",1,negative,aplikasi aman komen tdk terus upload tangguh langgan apk burik,62
aplikasinya makin jelek semenjak ganti pemilik 👎🏻👎🏻👎🏻,1,negative,aplikasi jelek semenjak ganti milik,35
"saya sangat kecewa dengan aplikasi ini karna akun sya di tangguhkan padahal saya tidak melakukan pelanggaran di dalam aplikasi ini, tapi akun saya tetap di tangguhkan dan tidak bisa di ajukan banding",1,negative,kecewa aplikasi karna akun sya tangguh langgar aplikasi akun tangguh aju banding,80
The application is no longer compatible with my cellphone... I am very sad 😭,1,negative,the application is no longer compatible with my cellphone i am very sad,71
"aplikasi nya aga buruk dan kurang, kadang suka ada adegan yang ga bagus buat di tonton tolong perbaiki lagi",2,negative,aplikasi nya aga buruk kadang suka adegan ga bagus tonton tolong baik,69
the worst ever,1,negative,the worst ever,14
gak tau apa baru download beberapa hari udah ditangguhkan aja,2,negative,gak tau download udah tangguh aja,33
sering log out sendiri,1,negative,log out,7
"tidak bisa login, dan bikin akun.",1,negative,login bikin akun,16
my account banned for no reason,1,negative,my account banned for no reason,31
kenapa akun saya d tangguhkan,5,positive,akun d tangguh,14
Saya rasa ini aplikasi sudah tidak bisa digunakan. Setiap buka akun mau bikin akun baru selalu di kunci ending nya juga pasti di Suspen ga jelas! ApK Dajjal,1,negative,aplikasi buka akun bikin akun kunci ending nya suspen ga apk dajjal,67
Banyak hal yg aneh2 di dalam x ini jadi tolong untuk menghapus yg aneh2 itu ya,1,negative,yg aneh x tolong hapus yg aneh ya,33
"SALAH APAA AKUN SAYA KENA AJUKAN BANDING AJAA MIN TOLONG DI REPORT DAN KEMBALIKAN AKUN YA, KALO SUDAH SAYA KASIH BINTANG 5",1,negative,salah apaa akun kena aju banding ajaa min tolong report kembali akun ya kalo kasih bintang,90
Singkat Padat Informatif,5,positive,singkat padat informatif,24
haha sebelum twitter update baru ganti,5,positive,haha twitter update ganti,25
"Kenapa saat saya membaca sebuah cerita, postingannya malah sering terpotong?",3,neutral,baca cerita postingannya potong,31
"parah,, akun tiba tiba out, & susah login kembali,,, ,,,,",1,negative,parah akun out susah login,26
cool man,5,positive,cool man,8
joss gandosss,5,positive,joss gandoss,12
tidak bermanfaat bagi saya,1,negative,manfaat,7
ga jelas tiba-tiba ditangguhkan,1,negative,ga tangguh,10
berita ys sanv bru bsru,5,positive,berita ys sanv bru bsru,23
